,t,x,y,z
468,4.68,-5.777691068047929,-9.61395773552163,14.935015672845225
469,4.69,-6.175175588430279,-10.289501318551489,15.128915939075519
470,4.7,-6.600676410177926,-10.996623687930404,15.40173949428149
471,4.71,-7.054334898144589,-11.730945922106619,15.762161731492768
472,4.72,-7.535769826472975,-12.486117618888175,16.219215917400263
473,4.73,-8.043921291197446,-13.25343907907245,16.781982543088713
474,4.74,-8.57687356944591,-14.021489910374179,17.45913994929355
475,4.75,-9.131661398729555,-14.77580514038332,18.258351456958227
476,4.76,-9.704068459950175,-15.498657318689935,19.185472607843405
477,4.7700000000000005,-10.28843246181531,-16.16902124732971,20.243579163656936
478,4.78,-10.877477925467767,-16.762813133960325,21.431844657762007
479,4.79,-11.462204894503774,-17.25350211121531,22.744336639019412
480,4.8,-12.031868073927555,-17.613181186095524,24.168851426305324
481,4.8100000000000005,-12.574084366965135,-17.814148072616042,25.685961481047503
482,4.82,-13.075104903922686,-17.83097757132725,27.268494423200146
483,4.83,-13.520277829002914,-17.64296648885943,28.881679408498282
484,4.84,-13.894708523448166,-17.236711522953044,30.48416397113155
485,4.8500000000000005,-14.184094802233417,-16.60846661175339,32.03000688170388
486,4.86,-14.375679266895574,-15.76585743513255,33.47159026802601
487,4.87,-14.459226293723482,-14.728546899630976,34.763192008118644
488,4.88,-14.427906464822044,-13.527570454495509,35.8647674637241
489,4.89,-14.278965874878454,-12.203284692154991,36.74537142945189
490,4.9,-14.01407721811446,-10.802147572524222,37.38565939573684
491,4.91,-13.639312665708658,-9.372796112174933,37.779057764462685
492,4.92,-13.164736549540331,-7.962030175337661,37.9314513239497
493,4.93,-12.603674888787594,-6.611304845609268,37.85952830338363
494,4.94,-11.97176452081723,-5.354186616877721,37.58816298725632
495,4.95,-11.285907227625282,-4.2149949925201975,37.14734113824926
496,4.96,-10.56325137807686,-3.208606616191338,36.56912732643765
497,4.97,-9.820299971121704,-2.341209037178868,35.8850626728985
498,4.98,-9.072208653494153,-1.6116897786011373,35.124218512063045
499,4.99,-8.332300064986466,-1.0133332201949456,34.31196903745447
500,5.0,-7.611789276352624,-0.5355487641052676,33.46942073007469
501,5.01,-6.91969313276936,-0.1654363303945126,32.61336287960722
502,5.0200000000000005,-6.262884659492472,0.11091883704969657,31.756578317394002
503,5.03,-5.646250709954331,0.30745871401125585,30.908363193805034
504,5.04,-5.072914100130396,0.4374595434627311,30.075133628137458
505,5.05,-4.544487897381918,0.5130924389595747,29.261032340468244
506,5.0600000000000005,-4.061337159703166,0.5451853791807418,28.46848142404718
507,5.07,-3.6228308031013534,0.5431344563179725,27.6986539831511
508,5.08,-3.2275726156977704,0.5149184899342174,26.95185630624725
509,5.09,-2.873605434026955,0.4671798927958901,26.227824248590196
510,5.1000000000000005,-2.558586159900856,0.405343650901576,25.525944034677845
511,5.11,-2.2799317995491464,0.3337542310339482,24.845410366351967
512,5.12,-2.0349382860428067,0.2558166803226471,24.185334938837418
513,5.13,-1.8208747360417885,0.1741331008367228,23.54481729942361
514,5.14,-1.6350561962137122,0.09062925421075907,22.922988179279546
515,5.15,-1.474898015130683,0.006668539872476148,22.319033463242164
516,5.16,-1.3379548541245794,-0.07684774238498718,21.732205107744754
517,5.17,-1.2219471116795733,-0.15939386364791724,21.161823706992447
518,5.18,-1.124777239296709,-0.24074623609126514,20.60727608777471
519,5.19,-1.0445381108980287,-0.3209220794135721,20.068010278646465
520,5.2,-0.9795152968300564,-0.40012900256230316,19.543529418213552
521,5.21,-0.9281848015503541,-0.4787242647339949,19.033385598154897
522,5.22,-0.8892075586996553,-0.5571825021706895,18.537174236496842
523,5.23,-0.8614217417500973,-0.6360707767608602,18.05452930637924
524,5.24,-0.8438337433451171,-0.7160298983986437,17.58511957188393
525,5.25,-0.8356085007267235,-0.7977610818419523,17.128645878632074
526,5.26,-0.8360596962437693,-0.8820171114256876,16.684839492058867
527,5.2700000000000005,-0.8446402383083477,-0.9695972975001578,16.25346145507771
528,5.28,-0.8609333265584196,-1.0613456130116516,15.834302938137577
529,5.29,-0.8846443226011015,-1.1581514947397096,15.42718657079147
530,5.3,-0.9155935818374147,-1.2609528797848035,15.031968769816709
531,5.3100000000000005,-0.9537103499295914,-1.370741122966661,14.648543111631355
532,5.32,-0.9990277870578161,-1.4885675041688216,14.276844834663342
533,5.33,-1.0516791519872246,-1.6155510857720357,13.916856599928035
534,5.34,-1.1118951540458346,-1.7528877184895673,13.568615685575432
535,5.3500000000000005,-1.1800024624401972,-1.9018600182045156,13.232222844312751
536,5.36,-1.2564233470233157,-2.063848145391656,12.907853112457694
537,5.37,-1.3416764108066719,-2.240341210270757,12.595768927179325
538,5.38,-1.4363783602364621,-2.4329490979284674,12.296335985509367
539,5.39,-1.5412467424310177,-2.6434144539639406,12.010042366063667
540,5.4,-1.657103556816321,-2.873624486863192,11.737521532778278
541,5.41,-1.7848796190856897,-3.1256221203685213,11.47957994919252
542,5.42,-1.9256195147305064,-3.401615857140343,11.237230150349454
543,5.43,-2.0804869233109193,-3.7039874804876773,11.011730243393515
544,5.44,-2.2507700178714654,-4.0352964066859425,10.804630930002807
545,5.45,-2.437886539838174,-4.398279085035651,10.617831251003865
546,5.46,-2.6433880101222598,-4.795841300483478,10.453644324806028
547,5.47,-2.8689623518737224,-5.231040534192007,10.314874353612735
548,5.48,-3.1164339571813864,-5.707054647722003,10.204906054491994
549,5.49,-3.3877599147781075,-6.227132043314496,10.127807361990042
550,5.5,-3.685020712686655,-6.7945170891771225,10.088445637785687
551,5.51,-4.010403222606852,-7.412342975245383,10.092616560092326
552,5.5200000000000005,-4.366173147790381,-8.083482308890215,10.1471831452572
553,5.53,-4.754633366160018,-8.810343766502056,10.26021970535111
554,5.54,-5.178063733319615,-9.594601196115182,10.441151628947852
555,5.55,-5.638636961228812,-10.43684011290709,10.700876291984434
556,5.5600000000000005,-6.138304239844095,-11.336106216179282,11.05184275402724
557,5.57,-6.678643477364571,-12.289342449049645,11.508057855277727
558,5.58,-7.2606626667182645,-13.290706798099716,12.084973870670357
559,5.59,-7.884551361384922,-14.330774654848675,12.799198590311669
560,5.6000000000000005,-8.549375175367972,-15.395649825487896,13.66795430538628
561,5.61,-9.252712433275642,-16.466040033868328,14.708201236143712
562,5.62,-9.990239577646266,-17.516398125620217,15.935339584485614
563,5.63,-10.755283687050895,-18.514288787470303,17.36142187997139
564,5.64,-11.538377110495695,-19.420206897281243,18.99285560176282
565,5.65,-12.32687044311021,-20.18813344725335,20.82766760466211
566,5.66,-13.104683656378866,-20.767142607952056,22.85254399891052
567,5.67,-13.852296142715304,-21.104331880984976,25.040044866443388
568,5.68,-14.547086393819024,-21.149195522379145,27.34658980513713
569,5.69,-15.164120071544048,-20.85927310270931,29.711951210913522
570,5.7,-15.677440775975622,-20.20649669685979,32.060982583330336
571,5.71,-16.06183612404331,-19.183218761229206,34.308055872559606
572,5.72,-16.294940559405816,-17.806589952190492,36.36414943406992
573,5.73,-16.359420068007008,-16.119964386471217,38.14579919222254
574,5.74,-16.24490084578004,-14.190466706701363,39.584421900426356
575,5.75,-15.949293020862697,-12.1027170540059,40.63413917425665
576,5.76,-15.479242578305351,-9.949721608474828,41.27640525052638
577,5.7700000000000005,-14.849606987223263,-7.822717449713657,41.520483898299936
578,5.78,-14.082046455884546,-5.801993427848649,41.39988075046611
579,5.79,-13.202991711007478,-3.950313081362652,40.96581506230286
580,5.8,-12.241341137820092,-2.309737376082743,40.279363810964654
581,5.8100000000000005,-11.226237697898389,-0.9017351333629542,39.40390600044282
582,5.82,-10.185196684774246,0.270206436140223,38.399053751638924
583,5.83,-9.142737428882484,1.2165507306316594,37.316631406999576
584,5.84,-8.119555315301834,1.957280893916515,36.19869613043946
585,5.8500000000000005,-7.13218196252336,2.5178185296227933,35.07722207296571
586,5.86,-6.193031070340499,2.9257106832850486,33.97491839450728
587,5.87,-5.310711695616233,3.2082200496002136,32.90666739438865
588,5.88,-4.490499124184235,3.3907626303281058,31.881176732887674
589,5.89,-3.73487465619046,3.4960392587198266,30.90257433248465
590,5.9,-3.0440704752111287,3.5436793345523765,29.971795748466544
591,5.91,-2.4165787028058605,3.5502287987513927,29.087704402550806
592,5.92,-1.8496021262801712,3.5293468693862358,28.24794329099617
593,5.93,-1.33943735791884,3.4921123818295032,27.449548410662075
594,5.94,-0.8817898905686989,3.4473728463017985,26.689367135485078
595,5.95,-0.47202565027126997,3.4020945973286,25.964326322015072
596,5.96,-0.10536624124007732,3.3616905123434777,25.27159043028529
597,5.97,0.22296399373962833,3.330313848288857,24.60864297938557
598,5.98,0.5176310520201315,3.31111426846616,23.973317308896434
599,5.99,0.7831170663011618,3.3064564838204413,23.363795959552732
600,6.0,1.02367226360122,3.318104209596459,22.778592452538092
601,6.01,1.2432874718152922,3.3473731339282295,22.216524909384855
602,6.0200000000000005,1.4456824604232776,3.3952568457216423,21.67668770652619
603,6.03,1.634306220987952,3.4625295166565704,21.158425021403445
604,6.04,1.812346008895434,3.5498287818897443,20.66130850943527
605,6.05,1.9827425775534568,3.6577218326088206,20.18512027816368
606,6.0600000000000005,2.1482095456364623,3.7867572821117146,19.729841649165948
607,6.07,2.311255256166111,3.9375049239519866,19.295647802034015
608,6.08,2.4742058233012485,4.110585075879206,18.882908186908228
609,6.09,2.6392283282093305,4.306688796999329,18.49219250408709
610,6.1000000000000005,2.8083533276754973,4.526589873109326,18.12428202988848
611,6.11,2.983495985188117,4.771149079702673,17.780186078651237
612,6.12,3.16647522977688,5.041310846247389,17.461163401434366
613,6.13,3.359030397290518,5.338092051917292,17.168748307276694
614,6.140000000000001,3.5628348154644742,5.662562276216686,16.904781229134116
615,6.15,3.779505760660119,6.015814404602169,16.671443319046645
616,6.16,4.010610142803081,6.398924050319741,16.471294417570874
617,6.17,4.257665168254949,6.812895807297087,16.30731336775576
618,6.18,4.522133091590128,7.258593914003769,16.182939094409882
619,6.19,4.805409002198441,7.736654519931543,16.102110099408613
620,6.2,5.108800409853869,8.24737646338589,16.0692989834653
621,6.21,5.433497210599093,8.79058738262573,16.089537245293965
622,6.22,5.780530455359591,9.365482225781976,16.168423892669008
623,6.23,6.150718246342451,9.9704319853495,16.312109317225893
624,6.24,6.544597105321733,10.602762008169739,16.527243482440856
625,6.25,6.962337369538252,11.258501830003679,16.82087489439529
626,6.26,7.40364167574782,11.932112506793949,17.20028435971123
627,6.2700000000000005,7.867626515820752,12.616203211206232,17.67273569145397
628,6.28,8.352688330746867,13.301256686079201,18.245125090345518
629,6.29,8.856357796330652,13.975392997499116,18.923513020170496
630,6.3,9.375148951070889,14.624212429235344,19.71252843579649
631,6.3100000000000005,9.90441364151915,15.230770051698055,20.61464679710714
632,6.32,10.438216258481816,15.775744147600763,21.62936181689259
633,6.33,10.96924848603078,16.23786467787945,22.75229694893453
634,6.34,11.488808000570094,16.594661578456147,23.97433513278989
635,6.3500000000000005,11.986867548994146,16.823570722283794,25.280880458327104
636,6.36,12.452260073018648,16.903393816126105,26.651395863327494
637,6.37,12.872999909592712,16.816046782280022,28.059375957957926
638,6.38,13.236748346727842,16.548454978626605,29.472901060823467
639,6.390000000000001,13.531413755884182,16.09437674024213,30.855867053665662
640,6.4,13.745853678009544,15.455880522571496,32.16989274627247
641,6.41,13.870622215630362,14.64418970971283,33.376781973336605
642,6.42,13.898686263571298,13.67966167892649,34.441286524287285
643,6.43,13.826024472401942,12.590787154698864,35.33381414829685
644,6.44,13.652028038833063,11.41226316409676,36.032689256358935
645,6.45,13.379643805679637,10.182368390513865,36.52562397439308
646,6.46,13.015234630190168,8.94000500008079,36.810189203582446
647,6.47,12.568172428256709,7.721826786435168,36.89325695629621
648,6.48,12.050216654596772,6.559835235214246,36.78956712193184
649,6.49,11.474757117600223,5.479708485116344,36.51970615962222
650,6.5,10.856010288393716,4.499971356404568,36.10784296146596
651,6.51,10.208252513295408,3.6319623211863465,35.579545924612354
652,6.5200000000000005,9.545155547630642,2.880440532541832,34.95992567046847
653,6.53,8.87926546634356,2.2446190005027518,34.27224166645111
654,6.54,8.221641180470538,1.71940600042545,33.537008519742564
655,6.55,7.5816479224095294,1.2966707156382027,32.77155917587029
656,6.5600000000000005,6.966886466711558,0.9664018467344524,31.989975516627524
657,6.57,6.383230884682928,0.7176829494589471,31.203279736955547
658,6.58,5.834945310888355,0.5394548809881468,30.419784625973477
659,6.59,5.32485192001592,0.4210692518977665,29.64551830263554
