,t,k=0,k=1,k=2
314,3.14,-4.037067496757646,-4.037067496757646,-4.037067496757646
315,3.15,-4.129275161200318,-4.129275161200318,-4.129275161200318
316,3.16,-4.240558590766142,-4.240558590766142,-4.240558590766142
317,3.17,-4.370904393460289,-4.370904393460289,-4.370904393460289
318,3.18,-4.52039280825167,-4.52039280825167,-4.52039280825167
319,3.19,-4.689184422989931,-4.689184422989931,-4.689184422989931
320,3.2,-4.877503518075537,-4.877503518075537,-4.877503518075537
321,3.21,-5.0856175808259545,-5.0856175808259545,-5.0856175808259545
322,3.22,-5.313812402409115,-5.313812402409115,-5.313812402409115
323,3.23,-5.562362051111709,-5.562362051111709,-5.562362051111709
324,3.24,-5.8314929242008695,-5.8314929242008695,-5.8314929242008695
325,3.25,-6.121341032931413,-6.121341032931413,-6.121341032931413
326,3.2600000000000002,-6.431901695622328,-6.431901695622328,-6.431901695622328
327,3.27,-6.762970934853096,-6.762970934853096,-6.762970934853096
328,3.2800000000000002,-7.114078138550706,-7.114078138550706,-7.114078138550706
329,3.29,-7.48441000153886,-7.48441000153886,-7.48441000153886
330,3.3000000000000003,-7.872726470321882,-7.872726470321882,-7.872726470321882
331,3.31,-8.277270425124865,-8.277270425124865,-8.277270425124865
332,3.3200000000000003,-8.695674192673174,-8.695674192673174,-8.695674192673174
333,3.33,-9.124867702934646,-9.124867702934646,-9.124867702934646
334,3.34,-9.560995137975544,-9.560995137975544,-9.560995137975544
335,3.35,-9.999349136852231,-9.999349136852231,-9.999349136852231
336,3.36,-10.43433376041852,-10.43433376041852,-10.43433376041852
337,3.37,-10.859469081443924,-10.859469081443924,-10.859469081443924
338,3.38,-11.267450901987305,-11.267450901987305,-11.267450901987305
339,3.39,-11.650278069519208,-11.650278069519208,-11.650278069519208
340,3.4,-11.999456541730378,-11.999456541730378,-11.999456541730378
341,3.41,-12.306283315435008,-12.306283315435008,-12.306283315435008
342,3.42,-12.562204601422415,-12.562204601422415,-12.562204601422415
343,3.43,-12.759231866766624,-12.759231866766624,-12.759231866766624
344,3.44,-12.890388024012424,-12.890388024012424,-12.890388024012424
345,3.45,-12.950146240299574,-12.950146240299574,-12.950146240299574
346,3.46,-12.934817978061043,-12.934817978061043,-12.934817978061043
347,3.47,-12.842847037271234,-12.842847037271234,-12.842847037271234
348,3.48,-12.674973582454113,-12.674973582454113,-12.674973582454113
349,3.49,-12.434245879409213,-12.434245879409213,-12.434245879409213
350,3.5,-12.125875564077388,-12.125875564077388,-12.125875564077388
351,3.5100000000000002,-11.75695136120851,-11.75695136120851,-11.75695136120851
352,3.52,-11.336042609534251,-11.336042609534251,-11.336042609534251
353,3.5300000000000002,-10.87273478511099,-10.87273478511099,-10.87273478511099
354,3.54,-10.377142949563938,-10.377142949563938,-10.377142949563938
355,3.5500000000000003,-9.859445881709114,-9.859445881709114,-9.859445881709114
356,3.56,-9.329475178264003,-9.329475178264003,-9.329475178264003
357,3.5700000000000003,-8.796382194633296,-8.796382194633296,-8.796382194633296
358,3.58,-8.268393754926375,-8.268393754926375,-8.268393754926375
359,3.59,-7.752657010224035,-7.752657010224035,-7.752657010224035
